start,duration,confidence,loudness_start,loudness_max_time,loudness_max,pitches,timbre
13.34032,0.31900,1.000,-34.226,0.01619,-14.558,[0.009 0.036 0.006 0.005 0.008 0.040 1.000 0.022 0.011 0.025 0.009 0.006],[39.423 -32.399 -53.339 57.786 42.599 -50.169 -71.459 7.698 8.067 -28.834 -23.563 -4.507]}
13.65932,0.13229,0.153,-33.373,0.00912,-27.977,[0.026 0.502 0.052 0.023 0.034 0.099 1.000 0.091 0.070 0.103 0.045 0.015],[28.444 -24.659 10.374 11.178 50.946 -57.135 -66.071 -7.075 -9.587 -16.873 -1.748 -3.115]}
13.79161,0.44263,1.000,-35.022,0.03066,-11.961,[0.031 0.062 0.020 0.042 0.021 0.037 0.172 0.033 1.000 0.063 0.017 0.016],[39.540 10.481 31.050 79.451 90.504 58.003 -12.251 23.331 -1.036 -7.595 55.289 -4.449]}
14.23424,0.35964,1.000,-30.782,0.05607,-13.696,[0.007 0.016 0.008 0.007 0.035 0.011 0.025 0.015 0.050 1.000 0.026 0.010],[35.340 -6.515 19.751 -23.874 72.591 55.078 -40.227 32.933 -3.497 9.374 -53.517 1.602]}
14.59388,0.14998,0.538,-32.534,0.01276,-25.977,[0.010 0.031 0.009 0.009 0.050 0.012 0.032 0.019 0.222 1.000 0.107 0.008],[30.658 -41.809 6.931 8.613 64.593 -64.164 -37.563 -15.501 7.161 -7.468 10.844 1.619]}
14.74385,0.46603,1.000,-33.668,0.01832,-12.505,[0.069 1.000 0.042 0.022 0.023 0.030 0.053 0.025 0.064 0.099 0.028 0.031],[40.210 -4.389 -3.227 102.344 74.997 -57.307 -50.075 6.503 24.241 -24.369 -18.620 -0.561]}
15.20989,0.46571,1.000,-31.827,0.01354,-15.232,[0.018 0.056 0.011 0.009 0.014 0.045 1.000 0.036 0.021 0.057 0.019 0.013],[37.935 -33.331 -59.782 77.981 41.883 -46.525 -65.376 11.862 6.055 -29.685 -19.269 -6.809]}
15.67560,0.31143,1.000,-35.236,0.01223,-11.632,[0.018 0.075 0.016 0.007 0.021 0.012 0.112 0.019 0.033 1.000 0.023 0.012],[41.635 42.262 61.148 110.292 113.369 -60.603 -37.755 18.446 -3.878 -24.816 -14.429 20.690]}
15.98703,0.15202,0.321,-28.561,0.00743,-23.809,[0.015 0.105 0.019 0.010 0.041 0.078 0.928 0.094 0.044 1.000 0.051 0.016],[32.785 29.154 94.311 30.201 69.444 -67.288 -23.840 25.302 -16.280 -20.035 3.941 7.482]}
16.13905,0.31197,1.000,-31.513,0.01133,-13.441,[0.009 0.017 0.010 0.009 0.045 0.015 0.030 0.013 0.032 1.000 0.027 0.010],[40.618 -28.833 -41.594 58.254 54.869 -52.733 -65.888 7.303 19.428 -24.227 -22.895 -6.624]}
