start,duration,confidence
466.84741,0.50812,0.662
467.35554,0.51131,0.625
467.86685,0.51403,0.662
468.38087,0.51730,0.656
468.89817,0.51962,0.716
469.41780,0.52346,0.689
469.94126,0.52589,0.720
470.46715,0.53038,0.728
470.99753,0.53310,0.799
471.53063,0.53629,0.717
472.06692,0.53941,0.741
472.60633,0.54283,0.693
473.14916,0.55320,0.739
473.70236,0.55740,0.677
474.25976,0.55860,0.663
474.81836,0.56409,0.682
475.38246,0.56911,0.678
475.95156,0.57278,0.642
476.52434,0.57661,0.735
477.10095,0.57445,0.676
477.67539,0.57779,0.611
478.25318,0.58349,0.628
478.83667,0.58611,0.629
479.42278,0.58921,0.573
480.01199,0.57633,0.648
480.58831,0.56489,0.464
481.15320,0.56301,0.411
481.71622,0.56376,0.376
482.27998,0.56452,0.204
482.84450,0.54908,0.388
483.39357,0.53894,0.563
483.93252,0.55358,0.383
484.48610,0.55187,0.232
485.03797,0.54233,0.114
485.58029,0.52607,0.629
486.10636,0.51647,0.321
486.62283,0.51994,0.253
487.14277,0.51291,0.617
487.65568,0.49656,0.111
488.15224,0.49786,0.535
488.65010,0.49544,0.254
